order_id,order_purchase_timestamp,order_delivered_customer_date,order_estimated_delivery_date,customer_state,late_delivery,delivery_days,delivery_gap_days,item_count,unique_sellers,total_order_value,seller_complexity,order_value_band,purchase_month
e481f51cbdc54678b7cc49136f2d6af7,2017-10-02 10:56:33,2017-10-10 21:25:13,2017-10-18,SP,False,8.436574074074073,-7.107488425925926,1,1,38.71,Single seller,Lowest 25%,2017-10
53cdb2fc8bc7dce0b6741e2150273451,2018-07-24 20:41:37,2018-08-07 15:27:45,2018-08-13,BA,False,13.782037037037037,-5.355729166666666,1,1,141.46,Single seller,Upper-middle 25%,2018-07
47770eb9100c2d0c44946d9cf07ec65d,2018-08-08 08:38:49,2018-08-17 18:06:29,2018-09-04,GO,False,9.394212962962962,-17.245497685185185,1,1,179.12,Single seller,Highest 25%,2018-08
949d5b44dbf5de918fe9c16f97b45f8a,2017-11-18 19:28:06,2017-12-02 00:28:42,2017-12-15,RN,False,13.20875,-12.980069444444444,1,1,72.2,Single seller,Lower-middle 25%,2017-11
ad21c59c0840e6cb83a9ceb5573f8159,2018-02-13 21:18:39,2018-02-16 18:17:02,2018-02-26,SP,False,2.873877314814815,-9.238171296296295,1,1,28.619999999999997,Single seller,Lowest 25%,2018-02
a4591c265e18cb1dcee52889e2d8acc3,2017-07-09 21:57:05,2017-07-26 10:57:55,2017-08-01,PR,False,16.54224537037037,-5.543113425925926,1,1,175.26,Single seller,Upper-middle 25%,2017-07
6514b8ad8028c9f2cc2374ded245783f,2017-05-16 13:10:30,2017-05-26 12:55:51,2017-06-07,RJ,False,9.989826388888888,-11.461215277777777,1,1,75.16,Single seller,Lower-middle 25%,2017-05
76c6e866289321a7c93b82b54852dc33,2017-01-23 18:29:09,2017-02-02 14:08:10,2017-03-06,RS,False,9.818761574074074,-31.41099537037037,1,1,35.95,Single seller,Lowest 25%,2017-01
e69bfb5eb88e0ed6a785585b27e16dbf,2017-07-29 11:55:02,2017-08-16 17:14:30,2017-08-23,SP,False,18.221851851851852,-6.2815972222222225,1,1,169.76000000000002,Single seller,Upper-middle 25%,2017-07
e6ce16cb79ec1d90b1da9085a6118aeb,2017-05-16 19:41:10,2017-05-29 11:18:31,2017-06-07,RJ,False,12.6509375,-8.52880787037037,2,1,259.06,Single seller,Highest 25%,2017-05
34513ce0c4fab462a55830c0989c7edb,2017-07-13 19:58:11,2017-07-19 14:04:48,2017-08-08,SP,False,5.754594907407407,-19.413333333333334,1,1,114.13,Single seller,Upper-middle 25%,2017-07
82566a660a982b15fb86e904c8d32918,2018-06-07 10:06:19,2018-06-19 12:05:52,2018-07-18,MG,False,12.083020833333334,-28.495925925925928,1,1,50.129999999999995,Single seller,Lowest 25%,2018-06
5ff96c15d0b717ac6ad1f3d77225a350,2018-07-25 17:44:10,2018-07-30 15:52:25,2018-08-08,SP,False,4.922395833333334,-8.338599537037037,1,1,32.7,Single seller,Lowest 25%,2018-07
432aaf21d85167c2c86ec9448c4e42cc,2018-03-01 14:14:28,2018-03-12 23:36:26,2018-03-21,SP,False,11.390254629629629,-8.01636574074074,1,1,54.36,Single seller,Lowest 25%,2018-03
dcb36b511fcac050b97cd5c05de84dc3,2018-06-07 19:03:12,2018-06-21 15:34:32,2018-07-04,GO,False,13.855092592592593,-12.351018518518519,1,1,146.45000000000002,Single seller,Upper-middle 25%,2018-06
403b97836b0c04a622354cf531062e5f,2018-01-02 19:00:43,2018-01-20 01:38:59,2018-02-06,RJ,False,17.276574074074073,-16.931261574074075,1,1,1376.45,Single seller,Highest 25%,2018-01
116f0b09343b49556bbad5f35bee0cdf,2017-12-26 23:41:31,2018-01-08 22:36:36,2018-01-29,SC,False,12.954918981481482,-20.057916666666667,1,1,43.089999999999996,Single seller,Lowest 25%,2017-12
85ce859fd6dc634de8d2f1e290444043,2017-11-21 00:03:41,2017-11-27 18:28:00,2017-12-11,SP,False,6.766886574074074,-13.230555555555556,1,1,29.75,Single seller,Lowest 25%,2017-11
83018ec114eee8641c97e08f7b4e926f,2017-10-26 15:54:26,2017-11-08 22:22:00,2017-11-23,BA,False,13.269143518518518,-14.068055555555556,1,1,92.97,Single seller,Lower-middle 25%,2017-10
203096f03d82e0dffbc41ebc2e2bcfb7,2017-09-18 14:31:30,2017-10-09 22:23:46,2017-09-28,SP,True,21.327962962962964,11.933171296296296,1,1,118.86000000000001,Single seller,Upper-middle 25%,2017-09
f848643eec1d69395095eb3840d2051e,2018-03-15 08:52:40,2018-03-19 18:08:32,2018-03-29,SP,False,4.386018518518519,-9.244074074074074,1,1,88.89999999999999,Single seller,Lower-middle 25%,2018-03
2807d0e504d6d4894d41672727bc139f,2018-02-03 20:37:35,2018-02-08 16:13:46,2018-02-21,SP,False,4.8167939814814815,-12.323773148148149,1,1,17.28,Single seller,Lowest 25%,2018-02
95266dbfb7e20354baba07964dac78d5,2018-01-08 07:55:29,2018-01-26 17:32:38,2018-02-21,SC,False,18.40079861111111,-25.26900462962963,1,1,187.57,Single seller,Highest 25%,2018-01
f3e7c359154d965827355f39d6b1fdac,2018-08-09 11:44:40,2018-08-13 18:24:27,2018-08-17,SP,False,4.277627314814815,-3.2330208333333332,1,1,104.11000000000001,Single seller,Lower-middle 25%,2018-08
fbf9ac61453ac646ce8ad9783d7d0af6,2018-02-20 23:46:53,2018-03-21 22:03:54,2018-03-12,RJ,True,28.928483796296295,9.919375,1,1,125.43,Single seller,Upper-middle 25%,2018-02
acce194856392f074dbf9dada14d8d82,2018-06-04 00:00:13,2018-06-16 15:20:55,2018-07-18,BA,False,12.639375,-31.36047453703704,2,2,227.68,Multiple sellers,Highest 25%,2018-06
dd78f560c270f1909639c11b925620ea,2018-03-12 01:50:26,2018-03-21 14:41:50,2018-03-28,SP,False,9.535694444444445,-6.387615740740741,1,1,60.69,Single seller,Lowest 25%,2018-03
91b2a010e1e45e6ba3d133fa997597be,2018-05-02 11:45:38,2018-05-16 20:56:24,2018-05-23,SP,False,14.382476851851852,-6.1275,1,1,192.68,Single seller,Highest 25%,2018-05
